t	w	a
0.043200	0.455728	0.220659
0.043300	0.455620	0.220705
0.043400	0.455513	0.220750
0.043500	0.455405	0.220796
0.043600	0.455298	0.220841
0.043700	0.455191	0.220887
0.043800	0.455083	0.220932
0.043900	0.454976	0.220978
0.044000	0.454868	0.221023
0.044100	0.454761	0.221069
0.044200	0.454653	0.221114
0.044300	0.454545	0.221160
0.044400	0.454438	0.221205
0.044500	0.454330	0.221251
0.044600	0.454223	0.221296
0.044700	0.454115	0.221342
0.044800	0.454007	0.221387
0.044900	0.453899	0.221432
0.045000	0.453792	0.221478
0.045100	0.453684	0.221523
0.045200	0.453576	0.221568
0.045300	0.453468	0.221614
0.045400	0.453361	0.221659
0.045500	0.453253	0.221704
0.045600	0.453145	0.221750
0.045700	0.453037	0.221795
0.045800	0.452929	0.221840
0.045900	0.452821	0.221886
0.046000	0.452713	0.221931
0.046100	0.452605	0.221976
0.046200	0.452497	0.222021
0.046300	0.452389	0.222067
0.046400	0.452281	0.222112
0.046500	0.452173	0.222157
0.046600	0.452065	0.222202
0.046700	0.451957	0.222248
0.046800	0.451849	0.222293
0.046900	0.451741	0.222338
0.047000	0.451632	0.222383
0.047100	0.451524	0.222428
0.047200	0.451416	0.222473
0.047300	0.451308	0.222519
0.047400	0.451199	0.222564
0.047500	0.451091	0.222609
0.047600	0.450983	0.222654
0.047700	0.450875	0.222699
0.047800	0.450766	0.222744
0.047900	0.450658	0.222789
0.048000	0.450549	0.222834
0.048100	0.450441	0.222879
0.048200	0.450333	0.222924
0.048300	0.450224	0.222969
0.048400	0.450116	0.223014
0.048500	0.450007	0.223059
0.048600	0.449899	0.223104
0.048700	0.449790	0.223149
0.048800	0.449682	0.223194
0.048900	0.449573	0.223239
0.049000	0.449464	0.223284
0.049100	0.449356	0.223329
0.049200	0.449247	0.223374
0.049300	0.449138	0.223419
0.049400	0.449030	0.223464
0.049500	0.448921	0.223509
0.049600	0.448812	0.223554
0.049700	0.448704	0.223599
0.049800	0.448595	0.223643
0.049900	0.448486	0.223688
0.050000	0.448377	0.223733
0.050100	0.448268	0.223778
0.050200	0.448160	0.223823
0.050300	0.448051	0.223868
0.050400	0.447942	0.223912
0.050500	0.447833	0.223957
0.050600	0.447724	0.224002
0.050700	0.447615	0.224047
0.050800	0.447506	0.224091
0.050900	0.447397	0.224136
0.051000	0.447288	0.224181
0.051100	0.447179	0.224226
0.051200	0.447070	0.224270
0.051300	0.446961	0.224315
0.051400	0.446852	0.224360
0.051500	0.446742	0.224404
0.051600	0.446633	0.224449
0.051700	0.446524	0.224494
0.051800	0.446415	0.224538
0.051900	0.446306	0.224583
0.052000	0.446196	0.224628
0.052100	0.446087	0.224672
0.052200	0.445978	0.224717
0.052300	0.445869	0.224762
0.052400	0.445759	0.224806
0.052500	0.445650	0.224851
0.052600	0.445540	0.224895
0.052700	0.445431	0.224940
0.052800	0.445322	0.224984
0.052900	0.445212	0.225029
0.053000	0.445103	0.225073
0.053100	0.444993	0.225118
0.053200	0.444884	0.225162
0.053300	0.444774	0.225207
0.053400	0.444665	0.225251
0.053500	0.444555	0.225296
0.053600	0.444446	0.225340
0.053700	0.444336	0.225385
0.053800	0.444226	0.225429
0.053900	0.444117	0.225474
0.054000	0.444007	0.225518
0.054100	0.443897	0.225562
0.054200	0.443788	0.225607
0.054300	0.443678	0.225651
0.054400	0.443568	0.225695
0.054500	0.443458	0.225740
0.054600	0.443349	0.225784
0.054700	0.443239	0.225828
0.054800	0.443129	0.225873
0.054900	0.443019	0.225917
0.055000	0.442909	0.225961
0.055100	0.442799	0.226006
0.055200	0.442689	0.226050
0.055300	0.442579	0.226094
0.055400	0.442469	0.226138
0.055500	0.442359	0.226183
0.055600	0.442249	0.226227
0.055700	0.442139	0.226271
0.055800	0.442029	0.226315
0.055900	0.441919	0.226360
0.056000	0.441809	0.226404
0.056100	0.441699	0.226448
0.056200	0.441589	0.226492
0.056300	0.441479	0.226536
0.056400	0.441369	0.226580
0.056500	0.441258	0.226625
0.056600	0.441148	0.226669
0.056700	0.441038	0.226713
0.056800	0.440928	0.226757
0.056900	0.440817	0.226801
0.057000	0.440707	0.226845
0.057100	0.440597	0.226889
0.057200	0.440486	0.226933
0.057300	0.440376	0.226977
0.057400	0.440266	0.227021
0.057500	0.440155	0.227065
0.057600	0.440045	0.227109
0.057700	0.439934	0.227153
0.057800	0.439824	0.227197
0.057900	0.439713	0.227241
0.058000	0.439603	0.227285
0.058100	0.439492	0.227329
0.058200	0.439382	0.227373
0.058300	0.439271	0.227417
0.058400	0.439161	0.227461
0.058500	0.439050	0.227505
0.058600	0.438939	0.227549
0.058700	0.438829	0.227593
0.058800	0.438718	0.227636
0.058900	0.438607	0.227680
0.059000	0.438497	0.227724
0.059100	0.438386	0.227768
0.059200	0.438275	0.227812
0.059300	0.438164	0.227856
0.059400	0.438053	0.227900
0.059500	0.437943	0.227943
0.059600	0.437832	0.227987
0.059700	0.437721	0.228031
0.059800	0.437610	0.228075
0.059900	0.437499	0.228118
0.060000	0.437388	0.228162
0.060100	0.437277	0.228206
0.060200	0.437166	0.228250
0.060300	0.437055	0.228293
0.060400	0.436944	0.228337
0.060500	0.436833	0.228381
0.060600	0.436722	0.228424
0.060700	0.436611	0.228468
0.060800	0.436500	0.228512
0.060900	0.436389	0.228555
0.061000	0.436278	0.228599
0.061100	0.436166	0.228643
0.061200	0.436055	0.228686
0.061300	0.435944	0.228730
0.061400	0.435833	0.228773
0.061500	0.435722	0.228817
0.061600	0.435610	0.228861
0.061700	0.435499	0.228904
0.061800	0.435388	0.228948
0.061900	0.435276	0.228991
0.062000	0.435165	0.229035
0.062100	0.435054	0.229078
0.062200	0.434942	0.229122
0.062300	0.434831	0.229165
0.062400	0.434719	0.229209
0.062500	0.434608	0.229252
0.062600	0.434496	0.229296
0.062700	0.434385	0.229339
0.062800	0.434273	0.229382
0.062900	0.434162	0.229426
0.063000	0.434050	0.229469
0.063100	0.433939	0.229513
0.063200	0.433827	0.229556
0.063300	0.433716	0.229599
0.063400	0.433604	0.229643
0.063500	0.433492	0.229686
0.063600	0.433381	0.229730
0.063700	0.433269	0.229773
0.063800	0.433157	0.229816
0.063900	0.433045	0.229860
0.064000	0.432934	0.229903
0.064100	0.432822	0.229946
0.064200	0.432710	0.229989
0.064300	0.432598	0.230033
0.064400	0.432486	0.230076
0.064500	0.432375	0.230119
0.064600	0.432263	0.230162
0.064700	0.432151	0.230206
0.064800	0.432039	0.230249
0.064900	0.431927	0.230292
0.065000	0.431815	0.230335
0.065100	0.431703	0.230378
0.065200	0.431591	0.230422
0.065300	0.431479	0.230465
0.065400	0.431367	0.230508
0.065500	0.431255	0.230551
0.065600	0.431143	0.230594
0.065700	0.431030	0.230637
0.065800	0.430918	0.230680
0.065900	0.430806	0.230723
0.066000	0.430694	0.230766
0.066100	0.430582	0.230809
0.066200	0.430470	0.230853
0.066300	0.430357	0.230896
0.066400	0.430245	0.230939
0.066500	0.430133	0.230982
0.066600	0.430020	0.231025
0.066700	0.429908	0.231068
0.066800	0.429796	0.231111
0.066900	0.429683	0.231154
0.067000	0.429571	0.231197
0.067100	0.429459	0.231240
0.067200	0.429346	0.231282
0.067300	0.429234	0.231325
0.067400	0.429121	0.231368
0.067500	0.429009	0.231411
0.067600	0.428896	0.231454
0.067700	0.428784	0.231497
0.067800	0.428671	0.231540
0.067900	0.428559	0.231583
0.068000	0.428446	0.231626
0.068100	0.428333	0.231668
0.068200	0.428221	0.231711
0.068300	0.428108	0.231754
0.068400	0.427996	0.231797
0.068500	0.427883	0.231840
0.068600	0.427770	0.231882
0.068700	0.427657	0.231925
0.068800	0.427545	0.231968
0.068900	0.427432	0.232011
0.069000	0.427319	0.232053
0.069100	0.427206	0.232096
0.069200	0.427093	0.232139
0.069300	0.426981	0.232182
0.069400	0.426868	0.232224
0.069500	0.426755	0.232267
0.069600	0.426642	0.232310
0.069700	0.426529	0.232352
0.069800	0.426416	0.232395
0.069900	0.426303	0.232438
0.070000	0.426190	0.232480
0.070100	0.426077	0.232523
0.070200	0.425964	0.232565
0.070300	0.425851	0.232608
0.070400	0.425738	0.232651
0.070500	0.425625	0.232693
0.070600	0.425512	0.232736
0.070700	0.425398	0.232778
0.070800	0.425285	0.232821
0.070900	0.425172	0.232863
0.071000	0.425059	0.232906
0.071100	0.424946	0.232948
0.071200	0.424832	0.232991
0.071300	0.424719	0.233033
0.071400	0.424606	0.233076
0.071500	0.424493	0.233118
0.071600	0.424379	0.233161
0.071700	0.424266	0.233203
0.071800	0.424153	0.233246
0.071900	0.424039	0.233288
0.072000	0.423926	0.233330
0.072100	0.423812	0.233373
0.072200	0.423699	0.233415
0.072300	0.423586	0.233457
0.072400	0.423472	0.233500
0.072500	0.423359	0.233542
0.072600	0.423245	0.233584
0.072700	0.423131	0.233627
0.072800	0.423018	0.233669
0.072900	0.422904	0.233711
0.073000	0.422791	0.233754
0.073100	0.422677	0.233796
0.073200	0.422563	0.233838
0.073300	0.422450	0.233880
0.073400	0.422336	0.233923
0.073500	0.422222	0.233965
0.073600	0.422109	0.234007
0.073700	0.421995	0.234049
0.073800	0.421881	0.234092
0.073900	0.421767	0.234134
0.074000	0.421654	0.234176
0.074100	0.421540	0.234218
0.074200	0.421426	0.234260
0.074300	0.421312	0.234302
0.074400	0.421198	0.234344
0.074500	0.421084	0.234387
0.074600	0.420970	0.234429
0.074700	0.420856	0.234471
0.074800	0.420742	0.234513
0.074900	0.420628	0.234555
0.075000	0.420514	0.234597
0.075100	0.420400	0.234639
0.075200	0.420286	0.234681
0.075300	0.420172	0.234723
0.075400	0.420058	0.234765
0.075500	0.419944	0.234807
0.075600	0.419830	0.234849
0.075700	0.419716	0.234891
0.075800	0.419602	0.234933
0.075900	0.419487	0.234975
0.076000	0.419373	0.235017
0.076100	0.419259	0.235059
0.076200	0.419145	0.235101
0.076300	0.419030	0.235143
0.076400	0.418916	0.235185
0.076500	0.418802	0.235226
0.076600	0.418688	0.235268
0.076700	0.418573	0.235310
0.076800	0.418459	0.235352
0.076900	0.418344	0.235394
0.077000	0.418230	0.235436
0.077100	0.418116	0.235478
0.077200	0.418001	0.235519
0.077300	0.417887	0.235561
0.077400	0.417772	0.235603
0.077500	0.417658	0.235645
0.077600	0.417543	0.235686
0.077700	0.417429	0.235728
0.077800	0.417314	0.235770
0.077900	0.417199	0.235812
0.078000	0.417085	0.235853
0.078100	0.416970	0.235895
0.078200	0.416856	0.235937
0.078300	0.416741	0.235978
0.078400	0.416626	0.236020
0.078500	0.416512	0.236062
0.078600	0.416397	0.236103
0.078700	0.416282	0.236145
0.078800	0.416167	0.236187
0.078900	0.416052	0.236228
0.079000	0.415938	0.236270
0.079100	0.415823	0.236311
0.079200	0.415708	0.236353
0.079300	0.415593	0.236395
0.079400	0.415478	0.236436
0.079500	0.415363	0.236478
0.079600	0.415248	0.236519
0.079700	0.415133	0.236561
0.079800	0.415019	0.236602
0.079900	0.414904	0.236644
0.080000	0.414789	0.236685
0.080100	0.414674	0.236727
0.080200	0.414558	0.236768
0.080300	0.414443	0.236810
0.080400	0.414328	0.236851
0.080500	0.414213	0.236893
0.080600	0.414098	0.236934
0.080700	0.413983	0.236975
0.080800	0.413868	0.237017
0.080900	0.413753	0.237058
0.081000	0.413637	0.237099
0.081100	0.413522	0.237141
0.081200	0.413407	0.237182
0.081300	0.413292	0.237224
0.081400	0.413176	0.237265
0.081500	0.413061	0.237306
0.081600	0.412946	0.237347
0.081700	0.412830	0.237389
0.081800	0.412715	0.237430
0.081900	0.412600	0.237471
0.082000	0.412484	0.237513
0.082100	0.412369	0.237554
0.082200	0.412253	0.237595
0.082300	0.412138	0.237636
0.082400	0.412023	0.237677
